Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.7837116064055419,0.760860381110676,0.5222007228157333,0.22172438191254992,0.009360790252685547
DP-GRAMS-C,0.7302382722834697,0.7581756800057784,0.5528190123564095,0.08516920492039311,0.06540894508361816
KMeans,0.7302382722834697,0.7581756800057784,0.5528190123564095,0.06625468519261159,0.025742053985595703
DP-KMeans,0.4379852727861605,0.5468323002365371,0.21164047599851774,5.13787508069591,0.011438846588134766
