Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.6093032758996849,0.6783653798712894,0.47099559188156415,6.537833151628907,0.12850420424374082,0.09489832064413661,0.09518716901519404,3.225296886972573,0.06156659126281738,0.0048424642443011725
0.1,DP-KMeans,0.4852021615956759,0.5697415549488628,0.4511836814399416,6.737031013118691,0.16352197030308252,0.16255711053048175,0.2144527959411956,1.7698955040491162,0.008792531490325928,0.0007478725998145161
0.5,DP-GRAMS-C,0.7269375481274152,0.7584906050794828,0.5390740683897054,0.3159783193195906,0.029784357222391932,0.019768931628235443,0.01586884198359818,0.16111927281965,0.06136589050292969,0.0029331335680644554
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,0.327383679012691,6.528380658054388,0.21952685534498337,0.22452590056381064,0.23603653249995968,1.9723575754146314,0.008906328678131103,0.0005864544345543334
1,DP-GRAMS-C,0.7247093583187597,0.7568579866481825,0.5456571343530972,0.1335340355489896,0.013815103529479178,0.013323993759822917,0.013397069902231473,0.06613933637693784,0.05929664373397827,0.0005744558741890255
1,DP-KMeans,0.5019893179696486,0.5887969695327985,0.3754919831057481,5.534359772084466,0.1423112497109813,0.15803643328721942,0.18579207765712957,1.7102165319899143,0.008144092559814454,0.0007336799858650906
2,DP-GRAMS-C,0.7305450661210691,0.7612007713917869,0.5480256262906369,0.09176533275743883,0.007301407254432447,0.00726219842445278,0.011762966957463813,0.03207903028577106,0.058963441848754884,0.0001780797105938267
2,DP-KMeans,0.5318923519355562,0.6182623515429918,0.46806517411294735,4.01179705872862,0.10899313551129823,0.10246549591482479,0.13924591884128723,1.7064893186643644,0.007887578010559082,0.0007280154278548273
5,DP-GRAMS-C,0.7289420367384983,0.7574320437664813,0.5528713341383293,0.07165985472822693,0.003888706634914441,0.0022309087178909556,0.00015696534575958544,0.013514288257062815,0.05907795429229736,0.000803499862836079
5,DP-KMeans,0.5862859667752013,0.6775181827053869,0.5164440996979545,2.227098015744368,0.09543275669717752,0.07021691448388012,0.10797793334302222,1.5390316843554623,0.007689750194549561,0.0008208211268132514
10,DP-GRAMS-C,0.7302382722834698,0.7581756800057782,0.5528190123564094,0.06575817053398691,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.008452687125333683,0.05901765823364258,0.00022500660868853662
10,DP-KMeans,0.6525806302252597,0.7078866502543049,0.533785021223778,0.9474643370243886,0.09291981683782383,0.06034640313244897,0.08212198597897681,1.1542481499745678,0.0075986385345458984,0.0008371976159200058
