n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
500,0.039355165313541926,0.001586019546127435,1.099427002466206,0.12742573268515242,0.0062568333523813635,1.5558148913637622e-05,0.02461520845245104,0.00023591699667140128
1000,0.011826903243663894,0.0001666298164614983,0.28539079029559006,0.03177115370439893,0.020317247998900712,0.0004021675369405599,0.05660304364282638,0.0005312303526246504
2000,0.003303050391592605,1.516763097976196e-05,0.10045967189645552,0.016344201345467078,0.08598740840097889,0.0019680918463192113,0.16403751868929248,0.0043897911066502265
5000,0.0029229122231214824,1.6895521744933393e-05,0.025113848937955756,0.003004612083283375,0.5350998729962158,0.0050050002264693345,0.5836419333470986,0.0056253862760756775
