epsilon,DP_mean,DP_se,DP_time_mean,DP_time_se,MS_mean,MS_se
0.1,1.321830007278659,0.20788998151750268,0.6750412813038565,0.020806717423802943,0.0029229122231214824,1.6895521744933393e-05
0.2,0.37675266749594316,0.03544283843053494,0.6330785501457286,0.014950539971408673,0.0029229122231214824,1.6895521744933393e-05
0.5,0.07405998028842833,0.009058827037524255,0.5159091063513188,0.01176585963614205,0.0029229122231214824,1.6895521744933393e-05
1,0.026447372492863996,0.0031082192978252425,0.5044637312967097,0.010082079792398582,0.0029229122231214824,1.6895521744933393e-05
5,0.0063585884987997065,0.000567225802292032,0.5093939814483747,0.01254695330901899,0.0029229122231214824,1.6895521744933393e-05
