n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
500,0.018495329421599496,3.981691274870366e-05,1.4163881625338401,0.16276743517619896,0.006333587458357215,0.00036593995196568745,0.01090894585940987,0.000625283761826374
1000,0.0059195082984772225,0.00011046843841242323,0.48542533735215254,0.06572971109191111,0.0180431772605516,9.936117110939484e-05,0.02274527493864298,0.0006321250548570219
2000,0.0061094826820690075,9.062218734027218e-05,0.14033005777411905,0.013521309481849238,0.07196408527670428,9.696568046588383e-05,0.04583385210717097,0.0010454807758003928
5000,0.0019469622262262762,2.4552940847913326e-06,0.02827199593611207,0.0037538609363975102,0.4682507334044203,0.0013649023027126686,0.24835067506646738,0.003947203603705228
