Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.5583714437541352,0.6994010915914346,0.6857881712617191,0.15440249260301728,0.009719133377075195
DP-GRAMS-C,0.5797431503129149,0.6882686422748469,0.5305036862998568,0.6402740641879142,0.06122016906738281
KMeans,0.7302382722834697,0.7581756800057784,0.5528190123564095,0.06625468519261159,0.02616095542907715
DP-KMeans,0.4379852727861605,0.5468323002365371,0.21164047599851774,5.13787508069591,0.009665966033935547
