n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
500,0.039355165313541926,0.001586019546127435,1.099427002466206,0.12742573268515242,0.0063576458254829046,0.0003854086493121288,0.023300045856740326,0.0006453517147560314
1000,0.011826903243663894,0.0001666298164614983,0.28539079029559006,0.03177115370439893,0.0184363582986407,0.00015724342844914227,0.051864275068510324,0.0004625351346036382
2000,0.003303050391592605,1.516763097976196e-05,0.10045967189645552,0.016344201345467078,0.07238680003210902,0.00016553214818064126,0.1339702750206925,0.001157277741173689
5000,0.0029229122231214824,1.6895521744933393e-05,0.025113848937955756,0.003004612083283375,0.46488498550606894,0.0007093218968676382,0.5216853855061345,0.004369699418105172
