Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.1,5,46,0.04268699269459993,0.1270201941872014,0.016527052968740463,913.5637747968601,1.5333011150360107,2025-10-09 00:07:44
DP-KMeans,0.1,7,48,0.019381167955724435,0.09876557125369416,0.06609419733285904,922.2896810851905,1.4288969039916992,2025-10-09 00:07:47
DP-KMeans,0.1,3,44,0.05925659061345116,0.1150154278440714,0.044135842472314835,1046.1294595350744,1.2690341472625732,2025-10-09 00:07:50
DP-KMeans,0.1,1,42,0.04492327083488319,0.0841762565759636,0.034819088876247406,952.832754155345,1.257242202758789,2025-10-09 00:07:50
DP-KMeans,0.1,4,45,0.04055834661256166,0.12594968984485816,0.04570148512721062,1165.9633319495465,1.6737639904022217,2025-10-09 00:07:50
DP-KMeans,0.1,2,43,0.021965350539207274,0.05415952364906567,0.020084451884031296,911.8582959295485,1.2824909687042236,2025-10-09 00:07:50
DP-KMeans,0.1,6,47,-7.223707839392076e-05,0.002611562093341093,0.01847716048359871,889.2124347330175,1.2970020771026611,2025-10-09 00:07:50
DP-KMeans,0.1,11,52,0.0,0.0,nan,1232.1461768975432,1.196713924407959,2025-10-09 00:07:51
DP-KMeans,0.1,0,41,0.00045337618174271074,0.024244625598952983,0.06344819068908691,1038.5628177436638,1.2760059833526611,2025-10-09 00:07:53
DP-KMeans,0.1,14,55,0.07546343974446654,0.13985866149655338,0.038782548159360886,955.4336225142376,1.3965961933135986,2025-10-09 00:09:42
DP-KMeans,0.1,15,56,0.06160513983156196,0.13334661243269078,0.004997603595256805,1103.5019667192935,1.8619260787963867,2025-10-09 00:09:52
DP-KMeans,0.1,13,54,0.09007046049741566,0.19683300132616843,0.04723108932375908,925.0299007127451,1.3265888690948486,2025-10-09 00:09:53
DP-KMeans,0.1,8,49,3.247577644491544e-07,8.627757362222969e-05,0.24126651883125305,1056.938554118091,1.2655529975891113,2025-10-09 00:09:54
DP-KMeans,0.1,9,50,0.006713786002838205,0.05799912498139286,0.12984001636505127,923.8382405180182,1.151872158050537,2025-10-09 00:09:56
DP-KMeans,0.1,10,51,0.04402580833846335,0.11407105806925195,0.08616812527179718,1130.0654642346892,1.3556139469146729,2025-10-09 00:09:56
DP-KMeans,0.1,12,53,9.77374124029995e-05,0.008198866170930522,0.17737537622451782,977.2317024420618,1.2349891662597656,2025-10-09 00:09:59
DP-KMeans,0.1,16,57,0.018367682261851637,0.07142947451275782,0.03048369102180004,876.3578676902036,1.3022511005401611,2025-10-09 00:10:00
DP-KMeans,0.1,17,58,0.0518213390323762,0.10536671522839203,0.02797168493270874,860.1270632151175,1.5025441646575928,2025-10-09 00:10:41
DP-KMeans,0.1,18,59,0.016935374041407623,0.0881945507198371,0.0816081166267395,943.2583140178904,1.5137667655944824,2025-10-09 00:10:47
DP-KMeans,0.1,19,60,6.642613243002643e-07,0.0001725386714002872,0.2288307249546051,1212.3554312111105,1.4280130863189697,2025-10-09 00:10:48
DP-KMeans,0.5,0,41,0.2380034855496322,0.3576685948323177,0.049009378999471664,378.21253521280187,1.1943180561065674,2025-10-09 01:41:45
DP-KMeans,0.5,5,46,0.17341358068967747,0.33676255692928797,0.03424284607172012,250.1141399591057,1.4738171100616455,2025-10-09 01:41:53
DP-KMeans,0.5,2,43,0.19902188234299847,0.3145740131518805,0.0453936867415905,394.48573661774094,1.2837791442871094,2025-10-09 01:41:53
DP-KMeans,0.5,4,45,0.2095173838757971,0.3270630955102046,0.058450911194086075,344.64476068333613,1.425976037979126,2025-10-09 01:41:53
DP-KMeans,0.5,7,48,0.14867269089922663,0.24861669821372342,0.0496758371591568,715.7883088031494,1.329068899154663,2025-10-09 01:41:55
DP-KMeans,0.5,6,47,0.1391733280735365,0.26364781639234874,0.05117705091834068,420.76449283226594,1.5008158683776855,2025-10-09 01:41:55
DP-KMeans,0.5,3,44,0.20297623184445113,0.3523300714671188,0.06663128733634949,775.6301240898787,1.4214770793914795,2025-10-09 01:41:55
DP-KMeans,0.5,1,42,0.18069975356731954,0.33680489902364996,0.02996988780796528,508.8821441383258,1.372943639755249,2025-10-09 01:41:56
DP-KMeans,0.5,8,49,0.12427706495981944,0.26251773776421256,0.04343641549348831,539.4481128032824,1.769425868988037,2025-10-09 01:44:52
DP-KMeans,0.5,15,56,0.20852111090057937,0.3053014128317006,0.05700916051864624,511.0373517820607,2.17181396484375,2025-10-09 01:44:54
DP-KMeans,0.5,10,51,0.1893286720859095,0.30212157335501466,0.0566597506403923,460.68694222959004,1.7619209289550781,2025-10-09 01:44:55
DP-KMeans,0.5,9,50,0.2040556240178662,0.3405275542355145,0.0499994270503521,244.07531394180106,1.7553930282592773,2025-10-09 01:44:55
DP-KMeans,0.5,12,53,0.13497301331043418,0.23896036913823415,0.042666949331760406,500.36180917748635,2.1289758682250977,2025-10-09 01:45:10
DP-KMeans,0.5,13,54,0.18058284434937114,0.28683578202399956,0.012613203376531601,436.08140606762134,2.1845650672912598,2025-10-09 01:45:12
DP-KMeans,0.5,14,55,0.16464767170847494,0.31184683515805717,0.02048981934785843,513.9184891414159,2.068726062774658,2025-10-09 01:45:12
