Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,rr_p,timestamp
DP-GRAMS-C,0.1,2,43,0.37005901723640877,0.5182126562374375,0.07817824929952621,52.60009765625,1842.7394411563873,1.0,2025-10-08 23:17:13
DP-GRAMS-C,0.1,4,45,0.44072258045629453,0.5435125916708053,0.07947801053524017,26.268667221069336,1852.0944619178772,1.0,2025-10-08 23:17:22
DP-GRAMS-C,0.1,7,48,0.45001638230941715,0.5499427942086503,0.08690929412841797,29.953380584716797,1848.9636859893799,1.0,2025-10-08 23:17:23
DP-GRAMS-C,0.1,1,42,0.3995371632595625,0.5189782719211837,0.08140697330236435,34.02216339111328,1854.6454448699951,1.0,2025-10-08 23:17:23
DP-GRAMS-C,0.1,3,44,0.41326515645020034,0.5494382206386186,0.07983597368001938,41.78887939453125,1852.6027481555939,1.0,2025-10-08 23:17:23
DP-GRAMS-C,0.1,5,46,0.36786653369334876,0.50710840860119,0.07782053202390671,46.694618225097656,1852.6987318992615,1.0,2025-10-08 23:17:25
DP-GRAMS-C,0.1,6,47,0.36567771681993,0.5215768965002451,0.07566750794649124,71.0938720703125,1852.6521699428558,1.0,2025-10-08 23:17:28
DP-GRAMS-C,0.1,0,41,0.4231307942069039,0.5452450795734997,0.07566819339990616,40.50076675415039,1861.685420036316,1.0,2025-10-08 23:17:30
DP-GRAMS-C,0.1,8,49,0.4050739874154466,0.5484089860137227,0.07637529075145721,56.526458740234375,1671.7878000736237,1.0,2025-10-08 23:48:02
DP-GRAMS-C,0.1,9,50,0.37997560714961587,0.5243185612272577,0.07772307842969894,49.87245559692383,1669.8163440227509,1.0,2025-10-08 23:48:20
DP-GRAMS-C,0.1,12,53,0.44959382666904246,0.5542688058113966,0.07726500928401947,40.58626174926758,1678.4916620254517,1.0,2025-10-08 23:48:21
DP-GRAMS-C,0.1,10,51,0.4577447669452043,0.5706865802743615,0.08085266500711441,40.693119049072266,1670.6427330970764,1.0,2025-10-08 23:48:24
DP-GRAMS-C,0.1,14,55,0.3728220252656354,0.5089176166647053,0.07203952968120575,60.491783142089844,1675.44531083107,1.0,2025-10-08 23:48:28
DP-GRAMS-C,0.1,11,52,0.43857908210544344,0.5606832045279182,0.07648295164108276,36.44005584716797,1679.373232126236,1.0,2025-10-08 23:48:29
DP-GRAMS-C,0.1,13,54,0.3913915268130797,0.5185469987557454,0.07864686101675034,44.52878189086914,1690.743889093399,1.0,2025-10-08 23:48:33
DP-GRAMS-C,0.1,15,56,0.43479622780999394,0.5607692634752467,0.07790821045637131,35.60335159301758,1690.29816031456,1.0,2025-10-08 23:48:36
DP-GRAMS-C,0.1,17,58,0.40087718310377163,0.53981942018505,0.07838740199804306,59.319190979003906,947.2230730056763,1.0,2025-10-09 00:05:09
DP-GRAMS-C,0.1,18,59,0.4483980379671835,0.567220280000834,0.07812183350324631,36.3570556640625,951.3681688308716,1.0,2025-10-09 00:05:13
DP-GRAMS-C,0.1,19,60,0.3898835540629127,0.5189415953581027,0.0778198093175888,44.02214050292969,949.8117411136627,1.0,2025-10-09 00:05:15
DP-GRAMS-C,0.1,16,57,0.37056892545078773,0.5207374562702725,0.0796918272972107,68.72338104248047,972.7157807350159,1.0,2025-10-09 00:05:15
DP-GRAMS-C,0.5,0,41,0.4231307942069039,0.5452450795734997,0.07566819339990616,40.50076675415039,1916.9282529354095,1.0,2025-10-09 00:44:56
DP-GRAMS-C,0.5,5,46,0.36786653369334876,0.50710840860119,0.07782053202390671,46.694618225097656,1922.7334160804749,1.0,2025-10-09 00:45:03
DP-GRAMS-C,0.5,2,43,0.37005901723640877,0.5182126562374375,0.07817824929952621,52.60009765625,1925.1304969787598,1.0,2025-10-09 00:45:07
DP-GRAMS-C,0.5,7,48,0.45001638230941715,0.5499427942086503,0.08690929412841797,29.953380584716797,1930.3817489147186,1.0,2025-10-09 00:45:15
DP-GRAMS-C,0.5,3,44,0.41326515645020034,0.5494382206386186,0.07983597368001938,41.78887939453125,1935.3688519001007,1.0,2025-10-09 00:45:19
DP-GRAMS-C,0.5,4,45,0.44072258045629453,0.5435125916708053,0.07947801053524017,26.268667221069336,1937.0956149101257,1.0,2025-10-09 00:45:23
DP-GRAMS-C,0.5,6,47,0.36567771681993,0.5215768965002451,0.07566750794649124,71.0938720703125,1938.9286079406738,1.0,2025-10-09 00:45:23
DP-GRAMS-C,0.5,1,42,0.3995371632595625,0.5189782719211837,0.08140697330236435,34.02216339111328,1979.1285939216614,1.0,2025-10-09 00:45:57
DP-GRAMS-C,0.5,8,49,0.4050739874154466,0.5484089860137227,0.07637529075145721,56.526458740234375,1893.7147719860077,1.0,2025-10-09 01:18:58
DP-GRAMS-C,0.5,10,51,0.4577447669452043,0.5706865802743615,0.08085266500711441,40.693119049072266,1900.7405848503113,1.0,2025-10-09 01:19:33
DP-GRAMS-C,0.5,12,53,0.44959382666904246,0.5542688058113966,0.07726500928401947,40.58626174926758,1915.7656426429749,1.0,2025-10-09 01:19:58
DP-GRAMS-C,0.5,13,54,0.3913915268130797,0.5185469987557454,0.07864686101675034,44.52878189086914,1909.1091079711914,1.0,2025-10-09 01:20:01
DP-GRAMS-C,0.5,9,50,0.37997560714961587,0.5243185612272577,0.07772307842969894,49.87245559692383,1928.0922181606293,1.0,2025-10-09 01:20:01
DP-GRAMS-C,0.5,11,52,0.43857908210544344,0.5606832045279182,0.07648295164108276,36.44005584716797,1916.4468369483948,1.0,2025-10-09 01:20:01
DP-GRAMS-C,0.5,14,55,0.3728220252656354,0.5089176166647053,0.07203952968120575,60.491783142089844,1918.4199109077454,1.0,2025-10-09 01:20:01
DP-GRAMS-C,0.5,15,56,0.43479622780999394,0.5607692634752467,0.07790821045637131,35.60335159301758,1930.5153589248657,1.0,2025-10-09 01:20:19
DP-GRAMS-C,0.5,16,57,0.37056892545078773,0.5207374562702725,0.0796918272972107,68.72338104248047,1112.2846772670746,1.0,2025-10-09 01:38:16
DP-GRAMS-C,0.5,17,58,0.40087718310377163,0.53981942018505,0.07838740199804306,59.319190979003906,1091.5334882736206,1.0,2025-10-09 01:38:31
DP-GRAMS-C,0.5,19,60,0.3898835540629127,0.5189415953581027,0.0778198093175888,44.02214050292969,1069.5629529953003,1.0,2025-10-09 01:38:36
DP-GRAMS-C,0.5,18,59,0.4483980379671835,0.567220280000834,0.07812183350324631,36.3570556640625,1086.9574630260468,1.0,2025-10-09 01:38:43
DP-GRAMS-C,1,5,46,0.36786653369334876,0.50710840860119,0.07782053202390671,46.694618225097656,1757.0007779598236,1.0,2025-10-09 02:33:33
DP-GRAMS-C,1,3,44,0.41326515645020034,0.5494382206386186,0.07983597368001938,41.78887939453125,1759.121229171753,1.0,2025-10-09 02:33:36
DP-GRAMS-C,1,2,43,0.37005901723640877,0.5182126562374375,0.07817824929952621,52.60009765625,1763.0590178966522,1.0,2025-10-09 02:33:39
DP-GRAMS-C,1,7,48,0.45001638230941715,0.5499427942086503,0.08690929412841797,29.953380584716797,1761.2146487236023,1.0,2025-10-09 02:33:39
DP-GRAMS-C,1,6,47,0.36567771681993,0.5215768965002451,0.07566750794649124,71.0938720703125,1754.9136610031128,1.0,2025-10-09 02:33:39
DP-GRAMS-C,1,4,45,0.44072258045629453,0.5435125916708053,0.07947801053524017,26.268667221069336,1769.9637031555176,1.0,2025-10-09 02:33:42
DP-GRAMS-C,1,0,41,0.4231307942069039,0.5452450795734997,0.07566819339990616,40.50076675415039,1784.7260689735413,1.0,2025-10-09 02:33:48
DP-GRAMS-C,1,1,42,0.3995371632595625,0.5189782719211837,0.08140697330236435,34.02216339111328,1787.8132219314575,1.0,2025-10-09 02:33:55
DP-GRAMS-C,1,8,49,0.4050739874154466,0.5484089860137227,0.07637529075145721,56.526458740234375,19254.697232961655,1.0,2025-10-09 08:23:01
DP-GRAMS-C,1,10,51,0.4577447669452043,0.5706865802743615,0.08085266500711441,40.693119049072266,19250.792365074158,1.0,2025-10-09 08:23:04
DP-GRAMS-C,1,12,53,0.44959382666904246,0.5542688058113966,0.07726500928401947,40.58626174926758,19253.19820380211,1.0,2025-10-09 08:23:07
DP-GRAMS-C,1,9,50,0.37997560714961587,0.5243185612272577,0.07772307842969894,49.87245559692383,19259.238776922226,1.0,2025-10-09 08:23:11
DP-GRAMS-C,1,11,52,0.43857908210544344,0.5606832045279182,0.07648295164108276,36.44005584716797,19257.813141822815,1.0,2025-10-09 08:23:16
DP-GRAMS-C,1,13,54,0.3913915268130797,0.5185469987557454,0.07864686101675034,44.52878189086914,20265.32945895195,1.0,2025-10-09 08:23:22
DP-GRAMS-C,1,15,56,0.43479622780999394,0.5607692634752467,0.07790821045637131,35.60335159301758,20260.172818899155,1.0,2025-10-09 08:23:25
