Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.4461750294519859,0.5685264049237426,0.0734631,37.631138,459.85242104530334
DP-GRAMS-C,0.4231307942069039,0.5452450795734997,0.07566819,40.500767,555.9974429607391
KMeans,0.3660426570022991,0.484787731306374,0.0816633,39.475445,1.1245660781860352
DP-KMeans,0.2433255126310559,0.3578005673750415,0.045380495,313.21848727719737,0.5698139667510986
