Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.6736117959022523,0.03906128550724685
0.1,DP-KMeans,0.0816273792546291,0.19337040254395527,-0.039882052304301974,2235.380474291692,0.02918937007969184,0.054670673626110854,0.021430094651089686,276.7761434935772,0.39055033922195437,0.027907051187089308
0.5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.676504898071289,0.038085867705384316
0.5,DP-KMeans,0.03606172382785394,0.1272274104122253,-0.04453642276685493,2029.7903266874637,0.034051700578533246,0.07123697420299975,0.0258845629574119,379.15998204213105,0.37134088277816774,0.030521274768372176
1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.6447386026382445,0.033541509507742186
1,DP-KMeans,0.019954900501954503,0.06851920356829691,nan,2060.2696365671363,0.033656422286581104,0.08158878435866923,nan,296.72161608065585,0.3261996150016785,0.03946044304159729
2,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.6498589396476744,0.037979070888409225
2,DP-KMeans,0.06201081215999471,0.16350499509915123,0.04664433445361282,1682.0028335790005,0.057201300202023984,0.09638696979692479,0.04420222630533541,257.44647007000384,0.30118149518966675,0.034031150572718535
5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.691551959514618,0.01934367118650913
5,DP-KMeans,0.1866571022334763,0.3548684967355882,0.0712511525394522,1216.9285969401458,0.04904740626806437,0.057988564088415906,0.02782128561834687,285.20256155742953,0.2971108555793762,0.022455255716968107
10,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.691796970367432,0.04899260833283124
10,DP-KMeans,0.2851229788553476,0.4561543496766487,0.09133639336244163,924.1987147531736,0.05837393623807176,0.06270418855326622,0.02598510147260402,274.0127176791561,0.2991494297981262,0.028438924863625228
