n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
100,0.2,13,100033,0.19044662264554407,0.0034202910028398037,2025-10-08 17:59:45
100,0.2,15,100035,0.09695463459626609,0.0036734999739564955,2025-10-08 17:59:45
100,0.2,16,100036,0.13961567026093935,0.0075055419583804905,2025-10-08 17:59:45
100,0.2,17,100037,0.3862253081453491,0.004337000020314008,2025-10-08 17:59:45
100,0.2,14,100034,0.2543253155502223,0.018234082963317633,2025-10-08 17:59:45
100,0.2,19,100039,0.17670386870455485,0.017040041973814368,2025-10-08 17:59:45
100,0.2,18,100038,0.11761030833324966,0.03776612499495968,2025-10-08 17:59:45
100,0.5,0,100050,0.03454222999995457,0.0037384580355137587,2025-10-08 17:59:51
100,0.5,1,100051,0.022389850817280864,0.0033855829969979823,2025-10-08 17:59:51
100,0.5,3,100053,0.019463843579267115,0.0039167499635368586,2025-10-08 17:59:51
100,0.5,4,100054,0.030865172572716065,0.0034492499544285238,2025-10-08 17:59:51
100,0.5,2,100052,0.029162414292158885,0.047725874988827854,2025-10-08 17:59:51
100,0.5,5,100055,0.031524119436603375,0.043113207968417555,2025-10-08 17:59:51
100,0.5,6,100056,0.021796092544064047,0.03531383303925395,2025-10-08 17:59:51
100,0.5,8,100058,0.015666750269791203,0.00825250003254041,2025-10-08 17:59:51
100,0.5,9,100059,0.05531706321717525,0.007364250021055341,2025-10-08 17:59:51
100,0.5,11,100061,0.04321402603531841,0.009632582950871438,2025-10-08 17:59:51
100,0.5,12,100062,0.01755486988811904,0.006130541965831071,2025-10-08 17:59:51
100,0.5,13,100063,0.012819444127855947,0.0036110840155743062,2025-10-08 17:59:51
100,0.5,14,100064,0.047101472881251764,0.0033482080325484276,2025-10-08 17:59:51
100,0.5,7,100057,0.07951394970448124,0.05149524996522814,2025-10-08 17:59:51
100,0.5,16,100066,0.024072499506495114,0.004494166001677513,2025-10-08 17:59:51
100,0.5,10,100060,0.028149761450173613,0.04064604203449562,2025-10-08 17:59:51
100,0.5,17,100067,0.06448477986034236,0.02884504199028015,2025-10-08 17:59:51
100,0.5,19,100069,0.10401671408916342,0.010794542031362653,2025-10-08 17:59:51
100,0.5,18,100068,0.08388216135433213,0.04602120799245313,2025-10-08 17:59:51
100,0.5,15,100065,0.10058241565684545,0.07726062496658415,2025-10-08 17:59:51
100,1.0,0,100100,0.0100359311851085,0.0037889579543843865,2025-10-08 17:59:55
100,1.0,1,100101,0.015752851730931387,0.005009582964703441,2025-10-08 17:59:55
100,1.0,2,100102,0.002607112986654682,0.008167834021151066,2025-10-08 17:59:55
100,1.0,3,100103,0.006514843661007135,0.053887291986029595,2025-10-08 17:59:56
100,1.0,4,100104,0.00504008812739577,0.019102209014818072,2025-10-08 17:59:56
100,1.0,5,100105,0.03246957043140555,0.015802624984644353,2025-10-08 17:59:56
100,1.0,6,100106,0.011013837187947816,0.04971041699172929,2025-10-08 17:59:56
100,1.0,7,100107,0.026652485246397323,0.009351041982881725,2025-10-08 17:59:56
100,1.0,8,100108,0.04261823847268689,0.004857667023316026,2025-10-08 17:59:56
100,1.0,9,100109,0.0021288522498304186,0.0035828339750878513,2025-10-08 17:59:56
100,1.0,10,100110,0.004799625905964161,0.003568249987438321,2025-10-08 17:59:56
100,1.0,11,100111,0.0022828437804866875,0.03603620803914964,2025-10-08 17:59:56
100,1.0,12,100112,0.0037876460426514917,0.05384195799706504,2025-10-08 17:59:56
100,1.0,13,100113,0.009523347318529465,0.00412366702221334,2025-10-08 17:59:56
100,1.0,14,100114,0.01484814140299737,0.007867499953135848,2025-10-08 17:59:56
100,1.0,15,100115,0.013087033454033874,0.0068188749719411135,2025-10-08 17:59:56
100,1.0,16,100116,0.014109317670999908,0.004245749965775758,2025-10-08 17:59:56
100,1.0,17,100117,0.009116667793566579,0.033596749999560416,2025-10-08 17:59:56
100,1.0,18,100118,0.013722706820951877,0.013670832966454327,2025-10-08 17:59:56
100,1.0,19,100119,0.01123760502417037,0.036939957994036376,2025-10-08 17:59:56
500,0.1,0,500010,0.060868135525861164,0.10773491696454585,2025-10-08 18:00:01
500,0.1,1,500011,0.09742264224564058,0.12174349999986589,2025-10-08 18:00:01
