n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,PMS_runtime,DP_runtime_mean,DP_runtime_std
100,0.1,0.5937228560389474,0.09605589158255508,0.0,0.008210875006625429,0.0067557749498519115,0.0033080810772651136
100,0.2,0.19912809701732231,0.028438518990388684,0.0,0.008210875006625429,0.00869936039816821,0.008525481992680243
100,0.5,0.044262436469631995,0.007461915871815658,0.0,0.008210875006625429,0.006409518749569543,0.0026211676614730497
100,1.0,0.00920213404895889,0.0018290505061104606,0.0,0.008210875006625429,0.004609743902983609,0.0012386281879317135
500,0.1,0.12269165707925105,0.019812165601655742,0.0,0.023951625014888123,0.06453761675220449,0.015174192072636379
500,0.2,0.021252666828058105,0.0030699674037500393,0.0,0.023951625014888123,0.06513633135036798,0.017762883649523373
500,0.5,0.003883191548592372,0.00031582764027402377,0.0,0.023951625014888123,0.07491475015121977,0.02420431043048738
500,1.0,0.0013672650516128927,0.000157255158401613,0.0,0.023951625014888123,0.060697414590686095,0.013435528922792365
1000,0.1,0.045971467351821046,0.005429000639833124,0.0,0.06370825000340119,0.18398431675013854,0.04222981932036255
1000,0.2,0.0106423484012482,0.0008795811332155788,0.0,0.06370825000340119,0.18818241654807935,0.06324826091842642
1000,0.5,0.0019774199076718246,0.0002012986423037558,0.0,0.06370825000340119,0.20352042710292154,0.06476825017633421
1000,1.0,0.0004938364190528728,0.0001074267925045966,0.0,0.06370825000340119,0.17935802495339886,0.03861119915072698
2000,0.1,0.010851347568200638,0.0010856149668468731,0.0,0.20121870798175223,0.7480063355033053,0.19739463178073813
2000,0.2,0.002830214194386425,0.0002674871692868695,0.0,0.20121870798175223,0.8132746374991257,0.160520348256147
2000,0.5,0.0003261585524537852,3.599835446828181e-05,0.0,0.20121870798175223,0.6367382186464965,0.1355346255597158
2000,1.0,7.319188771745446e-05,1.048569053456718e-05,0.0,0.20121870798175223,0.6029181292033172,0.12625547522360592
