n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
100,0.1,0,100010,0.2791000851942432,0.020737707964144647,2025-10-08 17:59:31
100,0.1,1,100011,1.615989055093554,0.005202125001233071,2025-10-08 17:59:31
100,0.1,2,100012,0.6684352335884143,0.016358959022909403,2025-10-08 17:59:31
100,0.1,3,100013,0.4795173916771326,0.0035802919883280993,2025-10-08 17:59:31
100,0.1,4,100014,0.33149306105558796,0.006992582988459617,2025-10-08 17:59:31
100,0.1,5,100015,0.20791540002348113,0.011229083000216633,2025-10-08 17:59:31
100,0.1,6,100016,0.4716632505093563,0.005964749958366156,2025-10-08 17:59:31
100,0.1,7,100017,0.2396555237691796,0.003464332956355065,2025-10-08 17:59:31
100,0.1,8,100018,0.28570660436128864,0.015178582980297506,2025-10-08 17:59:31
100,0.1,9,100019,1.0639496633566115,0.008325417002197355,2025-10-08 17:59:31
100,0.1,10,100020,0.41780584330573567,0.0034152920125052333,2025-10-08 17:59:31
100,0.1,11,100021,0.24214495356598445,0.008305458002723753,2025-10-08 17:59:31
100,0.1,13,100023,1.0992894711959063,0.00375895801698789,2025-10-08 17:59:31
100,0.1,12,100022,0.43524598845707774,0.0034162079682573676,2025-10-08 17:59:31
100,0.1,15,100025,0.3922928999083565,0.0034228339791297913,2025-10-08 17:59:31
100,0.1,16,100026,0.47316784282493446,0.0033639169996604323,2025-10-08 17:59:31
100,0.1,18,100028,0.2901455656532399,0.003416749997995794,2025-10-08 17:59:31
100,0.1,14,100024,1.480518463013906,0.011280209000688046,2025-10-08 17:59:31
100,0.1,19,100029,0.32735755748532697,0.003315166977699846,2025-10-08 17:59:31
100,0.1,17,100027,1.0730632667396298,0.010912667028605938,2025-10-08 17:59:31
100,0.2,0,100020,0.11361963296114949,0.004851874953601509,2025-10-08 17:59:34
100,0.2,1,100021,0.11911406871373426,0.005933416949119419,2025-10-08 17:59:34
100,0.2,2,100022,0.25756334056127383,0.006518209003843367,2025-10-08 17:59:34
100,0.2,3,100023,0.5777220318641929,0.0037527919630520046,2025-10-08 17:59:34
100,0.2,5,100025,0.11349813871074589,0.004084166022948921,2025-10-08 17:59:34
100,0.2,4,100024,0.4195554006338246,0.008781250042375177,2025-10-08 17:59:34
100,0.2,6,100026,0.1935914499065209,0.003674625011626631,2025-10-08 17:59:34
100,0.2,9,100029,0.1352484968405333,0.0033873749780468643,2025-10-08 17:59:34
100,0.2,7,100027,0.35861532932029133,0.03196637501241639,2025-10-08 17:59:34
100,0.2,12,100032,0.22673006410934984,0.003711832978297025,2025-10-08 17:59:34
100,0.2,14,100034,0.11931266007061597,0.005833957984577864,2025-10-08 17:59:34
100,0.2,8,100028,0.07391708449446897,0.04647212498821318,2025-10-08 17:59:34
100,0.2,10,100030,0.22334211339210913,0.04436004196759313,2025-10-08 17:59:34
100,0.2,11,100031,0.06748941237058738,0.019709707994479686,2025-10-08 17:59:34
100,0.2,15,100035,0.13402047392457844,0.008248375030234456,2025-10-08 17:59:34
100,0.2,17,100037,0.18215643942241544,0.010254124994389713,2025-10-08 17:59:34
100,0.2,13,100033,0.2438198825394151,0.022043040953576565,2025-10-08 17:59:34
100,0.2,18,100038,0.09763620686478125,0.009118582995142788,2025-10-08 17:59:34
100,0.2,16,100036,0.18735747892826318,0.016794207971543074,2025-10-08 17:59:34
100,0.2,19,100039,0.1382522347175947,0.010891125013586134,2025-10-08 17:59:34
100,0.5,0,100050,0.03638680562630489,0.023010917007923126,2025-10-08 17:59:40
100,0.5,1,100051,0.04107798330372046,0.059747583989519626,2025-10-08 17:59:40
100,0.5,3,100053,0.01719811143612331,0.01083595905220136,2025-10-08 17:59:40
100,0.5,2,100052,0.01415655136471369,0.037196625024080276,2025-10-08 17:59:40
100,0.5,5,100055,0.0032694964111005744,0.015393499983474612,2025-10-08 17:59:40
100,0.5,4,100054,0.03136082750304276,0.056400417000986636,2025-10-08 17:59:40
100,0.5,6,100056,0.020885140793533593,0.037087832984980196,2025-10-08 17:59:40
100,0.5,7,100057,0.07020853766502987,0.02330016699852422,2025-10-08 17:59:40
100,0.5,9,100059,0.04314160794014762,0.0036113749956712127,2025-10-08 17:59:40
100,0.5,10,100060,0.011357535026030725,0.008088375034276396,2025-10-08 17:59:40
100,0.5,8,100058,0.02055548914533213,0.03078491595806554,2025-10-08 17:59:40
100,0.5,12,100062,0.05126536618276038,0.024818708014208823,2025-10-08 17:59:40
100,0.5,13,100063,0.05987400031532087,0.006188832980114967,2025-10-08 17:59:40
100,0.5,11,100061,0.032908967581410084,0.010947207978460938,2025-10-08 17:59:40
100,0.5,14,100064,0.061544887376055686,0.004548666998744011,2025-10-08 17:59:40
100,0.5,15,100065,0.06609224245142684,0.011359916999936104,2025-10-08 17:59:40
100,0.5,18,100068,0.07948734513062998,0.0035006669932045043,2025-10-08 17:59:40
100,0.5,16,100066,0.040238418079092134,0.02049862500280142,2025-10-08 17:59:40
100,0.5,19,100069,0.1541695825419292,0.009377915994264185,2025-10-08 17:59:40
100,0.5,17,100067,0.030069833518935093,0.023220208007842302,2025-10-08 17:59:40
100,1.0,0,100100,0.0025681226079527354,0.013847083027940243,2025-10-08 17:59:46
100,1.0,1,100101,0.0036527868597807413,0.010266249999403954,2025-10-08 17:59:46
100,1.0,2,100102,0.0011439734967374224,0.008641541004180908,2025-10-08 17:59:46
100,1.0,3,100103,0.004979080881961414,0.004967209009919316,2025-10-08 17:59:46
100,1.0,4,100104,0.0016215245222711396,0.003509374975692481,2025-10-08 17:59:46
