n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
500,0.1,1,500011,0.7769841192170074,40.86654066700066,2025-10-02 15:50:41
500,0.1,2,500012,0.6430802433242332,40.890047875000164,2025-10-02 15:50:41
500,0.1,0,500010,0.5166760223312905,41.14061129100082,2025-10-02 15:50:41
500,0.1,4,500014,0.6100428232023776,41.046578583000155,2025-10-02 15:50:41
500,0.1,6,500016,0.5893447659938089,41.22640679200049,2025-10-02 15:50:42
500,0.1,3,500013,0.5422744153364883,41.38935720900008,2025-10-02 15:50:42
500,0.1,5,500015,0.6791885831117371,41.54306958399866,2025-10-02 15:50:42
500,0.1,7,500017,0.6078542661914231,41.56374429100106,2025-10-02 15:50:42
500,0.1,8,500018,0.5468190355198794,17.97755020800105,2025-10-02 15:50:59
500,0.1,9,500019,0.7334674728278054,17.932087375000265,2025-10-02 15:50:59
500,0.2,6,500026,0.11190127435007395,51.148961458000485,2025-10-02 16:00:03
500,0.2,2,500022,0.15936245468268917,51.29748458299946,2025-10-02 16:00:03
500,0.2,5,500025,0.1730874178725548,51.40671770799963,2025-10-02 16:00:03
500,0.2,3,500023,0.1419328038962249,51.840300624999145,2025-10-02 16:00:04
500,0.2,1,500021,0.2182570268615483,51.89937666700098,2025-10-02 16:00:04
500,0.2,0,500020,0.1611448728910957,51.92890875000012,2025-10-02 16:00:04
500,0.2,4,500024,0.1224192793293875,51.88771070800067,2025-10-02 16:00:04
500,0.2,7,500027,0.10937226134178579,51.832038415999705,2025-10-02 16:00:04
500,0.2,8,500028,0.1348264521506301,19.671567957999287,2025-10-02 16:01:54
500,0.2,9,500029,0.2359644923592616,19.838771500000803,2025-10-02 16:01:55
500,0.5,6,500056,0.04852325724269603,48.06260641699919,2025-10-02 16:03:16
500,0.5,4,500054,0.036416382596679286,48.38222691599913,2025-10-02 16:03:16
500,0.5,7,500057,0.022993820971275,48.39355754099961,2025-10-02 16:03:16
500,0.5,0,500050,0.03799566399441983,48.426596084000266,2025-10-02 16:03:16
500,0.5,1,500051,0.052854169259463964,48.45379370900082,2025-10-02 16:03:16
500,0.5,2,500052,0.0220716356805083,48.45794420799939,2025-10-02 16:03:16
500,0.5,5,500055,0.03734300463588687,48.618978792001144,2025-10-02 16:03:16
500,0.5,3,500053,0.05475160097825832,48.686432665999746,2025-10-02 16:03:16
500,0.5,8,500058,0.05019937693846264,20.456787208000605,2025-10-02 16:08:36
500,0.5,9,500059,0.04172429669221347,20.358356667000407,2025-10-02 16:08:36
500,1.0,0,500100,0.008791383625807137,43.89444979200016,2025-10-02 16:33:28
500,1.0,7,500107,0.011026432668303627,43.80985495900131,2025-10-02 16:33:28
500,1.0,2,500102,0.007961017668568887,44.10855216699929,2025-10-02 16:33:28
500,1.0,5,500105,0.005137118711015419,44.103444583000964,2025-10-02 16:33:28
500,1.0,4,500104,0.0036313646467526946,44.417078209000465,2025-10-02 16:33:29
500,1.0,3,500103,0.0055948949535814755,44.4369262500004,2025-10-02 16:33:29
500,1.0,1,500101,0.003217405923599205,44.49649716699969,2025-10-02 16:33:29
500,1.0,6,500106,0.01281854303052269,44.5989347499999,2025-10-02 16:33:29
500,1.0,9,500109,0.007779295756283715,15.004472624999835,2025-10-02 16:33:43
500,1.0,8,500108,0.004587157589227862,15.218701208999846,2025-10-02 16:33:43
1000,0.1,2,1000012,0.1804370683854332,375.2316135000001,2025-10-02 16:40:02
1000,0.1,0,1000010,0.19105754098626826,376.23056391700084,2025-10-02 16:40:03
1000,0.1,3,1000013,0.20936131237413383,377.58407541700035,2025-10-02 16:40:04
1000,0.1,1,1000011,0.19819859105048282,377.6911500410006,2025-10-02 16:40:04
1000,0.1,7,1000017,0.20801990199284337,378.45556008399944,2025-10-02 16:40:05
1000,0.1,6,1000016,0.2346853104869062,378.65543929199885,2025-10-02 16:40:05
1000,0.1,5,1000015,0.1992062056881924,378.7478949590004,2025-10-02 16:40:06
1000,0.1,4,1000014,0.2094229218712541,379.21896270899924,2025-10-02 16:40:06
1000,0.1,8,1000018,0.19942327721302996,139.63553020899963,2025-10-02 16:42:21
1000,0.1,9,1000019,0.21341792346922123,141.34097562499846,2025-10-02 16:42:23
1000,0.2,3,1000023,0.0752422827625257,482.2137039999998,2025-10-02 16:50:30
1000,0.2,4,1000024,0.0769110339167839,482.78214800000023,2025-10-02 16:50:30
1000,0.2,2,1000022,0.08011200437625547,483.1360378749996,2025-10-02 16:50:31
1000,0.2,5,1000025,0.06538545034549018,483.28546833400105,2025-10-02 16:50:31
1000,0.2,6,1000026,0.07315727995965815,483.36498745800054,2025-10-02 16:50:31
1000,0.2,1,1000021,0.0635524313238808,483.41995770799986,2025-10-02 16:50:32
1000,0.2,0,1000020,0.07526911687221648,483.540439583001,2025-10-02 16:50:32
1000,0.2,7,1000027,0.061151131495577715,484.4888428329996,2025-10-02 16:50:32
1000,0.2,8,1000028,0.06873742511581564,124.94411645800028,2025-10-02 16:52:34
1000,0.2,9,1000029,0.054936745791081085,125.37958587499998,2025-10-02 16:52:35
1000,0.5,1,1000051,0.005754623899317275,423.08600341700003,2025-10-02 16:59:41
1000,0.5,4,1000054,0.009248139016429329,423.08303075000003,2025-10-02 16:59:41
1000,0.5,7,1000057,0.007166002069938058,423.16387920799934,2025-10-02 16:59:41
1000,0.5,0,1000050,0.008141521886842936,423.38462612500007,2025-10-02 16:59:42
1000,0.5,3,1000053,0.0037988786812261023,423.2497860000003,2025-10-02 16:59:42
1000,0.5,5,1000055,0.004300534098030867,423.77682641699903,2025-10-02 16:59:42
