Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.4461750294519859,0.5685264049237426,0.0734631,37.631138,455.2871000766754
DP-GRAMS-C,0.4200357956378655,0.5439028805589781,0.07589903,42.3148,530.2610220909119
KMeans,0.3660426570022991,0.484787731306374,0.0816633,39.47545,1.1067121028900146
DP-KMeans,0.2433255126310559,0.3578005673750415,0.045380495,313.21848727719737,0.5807650089263916
