Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.694726490974426,0.042539143707266455
0.1,DP-KMeans,0.0816273792546291,0.19337040254395527,-0.039882052304301974,2235.380474291692,0.02918937007969184,0.054670673626110854,0.021430094651089686,276.7761434935772,0.3990379095077515,0.035800238513625196
0.5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.800254797935486,0.15836271664964519
0.5,DP-KMeans,0.03606172382785394,0.1272274104122253,-0.04453642276685493,2029.7903266874637,0.034051700578533246,0.07123697420299975,0.0258845629574119,379.15998204213105,0.37424938678741454,0.030807846558619092
1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.775240921974182,0.08836310960760649
1,DP-KMeans,0.019954900501954503,0.06851920356829691,nan,2060.2696365671363,0.033656422286581104,0.08158878435866923,nan,296.72161608065585,0.32858666181564333,0.039890086464339086
2,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,3.9999186873435972,0.18919415819171845
2,DP-KMeans,0.06201081215999471,0.16350499509915123,0.04664433445361282,1682.0028335790005,0.057201300202023984,0.09638696979692479,0.04420222630533541,257.44647007000384,0.3018046379089355,0.033219036742500714
5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,4.0842769026756285,0.1695001064136697
5,DP-KMeans,0.1866571022334763,0.3548684967355882,0.0712511525394522,1216.9285969401458,0.04904740626806437,0.057988564088415906,0.02782128561834687,285.20256155742953,0.30107704401016233,0.021794476136355198
10,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1102230246251565e-16,1.1102230246251565e-16,0.0,8.881784197001252e-16,4.112420070171356,0.28963252728858396
10,DP-KMeans,0.2851229788553476,0.4561543496766487,0.09133639336244163,924.1987147531736,0.05837393623807176,0.06270418855326622,0.02598510147260402,274.0127176791561,0.30367443561553953,0.028568421239157912
