n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
500,0.018495329421599496,3.981691274870366e-05,1.4163881625338401,0.16276743517619896,0.006319274945417419,6.847471056271213e-05,0.01197021040134132,0.0006045465528593637
1000,0.0059195082984772225,0.00011046843841242323,0.48542533735215254,0.06572971109191111,0.01920434170460794,0.00011710425575749177,0.025098133148276247,0.0007075916576442847
2000,0.0061094826820690075,9.062218734027218e-05,0.14033005777411905,0.013521309481849238,0.0747813624504488,0.00012497765450920217,0.0479812854406191,0.0010250141077966103
5000,0.0019469622262262762,2.4552940847913326e-06,0.02827199593611207,0.0037538609363975102,0.48406690420233645,0.002399344267697489,0.26232736660167577,0.004280569809612278
