Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.730263931746977,0.7619646777396655,0.5527644279157269,0.16857222287714277,0.008295226962178978,0.016759181670305455,0.0017085149050259038,0.07237183087830384,0.059623336791992186,0.00835365245920267
0.1,DP-KMeans,0.4852021615956759,0.5697415549488628,0.4511836814399416,6.737031013118691,0.16352197030308252,0.16255711053048175,0.2144527959411956,1.7698955040491162,0.008661258220672607,0.000831620784541836
0.5,DP-GRAMS-C,0.7295901545109841,0.7578038618861298,0.5528451732473693,0.07651226784529853,0.002825079873778027,0.0016207176089250946,0.00011403267996732559,0.009897027523837285,0.05935765504837036,0.002015585019142596
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,0.327383679012691,6.528380658054388,0.21952685534498337,0.22452590056381064,0.23603653249995968,1.9723575754146314,0.008419287204742432,0.0004916196485236819
1,DP-GRAMS-C,0.7302382722834698,0.7581756800057782,0.5528190123564094,0.07525103673773295,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.006094365022195097,0.05842272043228149,0.00037597849834574847
1,DP-KMeans,0.5019893179696486,0.5887969695327985,0.3754919831057481,5.534359772084466,0.1423112497109813,0.15803643328721942,0.18579207765712957,1.7102165319899143,0.00810614824295044,0.0007552990401899846
2,DP-GRAMS-C,0.7302382722834698,0.7581756800057782,0.5528190123564094,0.07672572691246053,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0036843601332270308,0.058762538433074954,0.0003770872451248908
2,DP-KMeans,0.5318923519355562,0.6182623515429918,0.46806517411294735,4.01179705872862,0.10899313551129823,0.10246549591482479,0.13924591884128723,1.7064893186643644,0.007839655876159668,0.0007029612018518934
5,DP-GRAMS-C,0.7302382722834698,0.7581756800057782,0.5528190123564094,0.0766690308042227,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0029284346861978275,0.05941727161407471,0.0006668555472508386
5,DP-KMeans,0.5862859667752013,0.6775181827053869,0.5164440996979545,2.227098015744368,0.09543275669717752,0.07021691448388012,0.10797793334302222,1.5390316843554623,0.007702791690826416,0.0008383957107650324
10,DP-GRAMS-C,0.7302382722834698,0.7581756800057782,0.5528190123564094,0.0773176343905498,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0007734429770911499,0.059396910667419436,0.0004476319832079491
10,DP-KMeans,0.6525806302252597,0.7078866502543049,0.533785021223778,0.9474643370243886,0.09291981683782383,0.06034640313244897,0.08212198597897681,1.1542481499745678,0.007589530944824219,0.000865383967631429
